		covid_tweets	blm_tweets	covid_authored	blm_authored	covid_rts	blm_rts	covid_qts	blm_qts	covid_replies	blm_replies
party_score	Democrat	3.2643621536413203	1.3320572228123662	4.773364800021618	6.754471409868678	3.6236280267933463	1.422152832977519	2.7766867706973564	0.2676044537734956	1.4280895358813828	-1.2653551576147892
party_score	Independent	-1.5587108984295315	-1.0118507032769022	-2.3076284066807076	-2.6113568424664515	-1.5735270407276472	-0.8564500543442793	-1.2712034603199405	-0.2802547690184551	-1.0153337745878357	-1.0101600048531556
party_score	Republican	-1.7056512552117986	-0.32020651953545975	-2.465736393340917	-4.143114567402225	-2.0501009860657007	-0.5657027786332314	-1.5054833103774201	0.012650315244960852	-0.41275576129354286	2.2755151624679506
gender	Female	5.998348032007383	4.565548455608759	0.8279033674156167	0.02574503224423985	4.303198725481094	2.3431825575937593	3.9222003153835616	1.5558952183783559	2.1681265516852233	-1.741646762906629
gender	Male	-5.998348032007389	-4.565548455608765	-0.8279033674156167	-0.02574503224422875	-4.3031987254811	-2.3431825575937646	-3.9222003153835616	-1.5558952183783614	-2.1681265516852233	1.7416467629066346
race	African-American	-3.721366608597486	-0.1426855629361512	-5.230330735583174	-0.4291109118742059	-3.9562582626668825	-0.20440308170340538	-4.783176186567549	-0.7052393313294227	-3.1693162819845853	-0.31950806802257675
race	Asian	0.18213145481630438	0.032579345771224094	0.6049942447758888	0.07775003829995596	0.016427075110421116	-0.02116599845353312	0.12962100794091902	0.09384213378048657	0.29437107468907076	-0.020848130155274106
race	Caucasian	4.7506166461043335	0.5186468079487305	5.784556572114264	0.9395202824250548	5.79989127520083	1.1496294177631095	6.172149679732186	0.7730221861200426	3.9734076113543293	0.9879469576076105
race	Hispanic	-1.1558839330116768	-0.40455823270584346	-1.0976533393840193	-0.5670023666814448	-1.7997722884139533	-0.9146888824035797	-1.4677376113140517	-0.16750084637851617	-1.0567079474555903	-0.7142338316637118
race	Native American	-0.05549755931147772	-0.003982358077955707	-0.06156674192294865	-0.021157042169356884	-0.060287799230416	-0.009371455202595181	-0.05085688979150073	0.005875857807405684	-0.041754456603231425	0.06664307223395284
binned_age	18-29	-11.809951264834659	-1.3337880416371628	-12.970348471410087	-7.340979299706535	-14.179815748578179	-1.731226664157931	-12.982775587886112	0.8322630415363796	-10.38315322833983	-6.9784762525482265
binned_age	30-49	-2.4705348938643565	-2.741174897876608	-0.8586949423264434	-0.6275437280469587	1.6169015331454206	1.8976871626681047	1.1058233242928095	0.08388126825626951	-1.4633386211237498	-1.5974574393271934
binned_age	50-64	8.04906075392412	1.8553427529672262	8.185774258322093	2.6906541537194766	7.727472640193739	0.3142178209962987	7.450683059799007	-0.1935155873269423	7.823932338351564	5.90595280318496
binned_age	>65	6.2314254047748925	2.219620186546542	5.643269155414441	5.277868874034018	4.835441575239016	-0.4806783195064751	4.426269203794286	-0.7226287224657013	4.022559511112016	2.6699808886904544
